,tile,dither,fiber,fiber_ra,fiber_dec,objID,GroupID,Separation,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
13,NE,D2,181.0,260.62679166666663,32.13861111111111,5.877292330596452e+17,,1.6933298665336198,23.389835,0.740328,21.525148,0.064803,20.142832000000002,0.029579,19.649532,0.03173,19.239191,0.070603,0.20809299999999997,0.012950999999999999,,,,,
14,NE,D2,212.0,260.63141666666667,32.135111111111115,5.877292330596445e+17,,0.9807990632010408,22.669006,0.391338,20.592648999999998,0.02972,19.162451,0.014618,18.61968,0.015854,18.259420000000002,0.03252,0.22770100000000001,0.011004,,,,,
15,NE,D3,5.0,260.623125,32.15872222222223,5.87729233059645e+17,,0.2339792948860424,23.34787,0.657169,21.841763,0.07969,20.68955,0.044882,20.212595,0.049513,19.679407,0.09898799999999999,0.156524,0.046832,,,,,
16,NE,D3,28.0,260.64329166666664,32.156972222222215,5.877292330596444e+17,,0.6459630390743463,22.6043,0.354678,20.673681,0.02998,19.781628,0.020553000000000002,19.472191,0.025075999999999998,19.252670000000002,0.06455599999999999,0.146142,0.040276,,,,,
17,NE,D3,41.0,260.63966666666664,32.15522222222222,5.877292330596447e+17,,0.3509316651848057,22.155136,0.208648,21.045258999999998,0.035081,20.378881,0.028426999999999997,20.095747,0.03562,19.72941,0.081817,0.089223,0.050732,,,,,
18,NE,D3,102.0,260.612625,32.14658333333333,5.877292330596436e+17,,1.4032671192842392,23.782042,0.7490760000000001,21.736835,0.061222000000000006,20.347822,0.028127999999999997,19.799343,0.028447000000000004,19.439076999999997,0.06473999999999999,0.217888,0.013231999999999999,,,,,
19,NE,D3,125.0,260.6326666666667,32.14494444444444,5.877292330596442e+17,,0.9450084315847428,22.77305,0.351769,20.847403,0.031381,19.480135,0.015956,18.926437,0.015446000000000001,18.528847,0.031118,0.209722,0.013458000000000001,,,,,
20,NE,D3,144.0,260.6433333333333,32.14322222222222,5.877292330596452e+17,,1.6898711082153068,23.041315,0.44175,21.861431,0.06718500000000001,20.555815,0.032728,19.973288,0.032401,19.628345,0.07500599999999999,0.24778200000000003,0.063108,,,,,
21,NE,D3,170.0,260.63616666666667,32.13975,5.877292330596443e+17,,0.2511962156653742,23.670618,0.829518,21.618275,0.06411499999999999,20.048672,0.025473,19.582898999999998,0.027641000000000002,19.31041,0.068134,0.22348200000000001,0.027541000000000003,,,,,
22,NE,D3,178.0,260.620875,32.13797222222223,5.877292330596443e+17,,1.4590502153859557,23.084583,0.45551899999999995,21.252893,0.041505,19.868260999999997,0.019643,19.315903,0.019625,18.950823,0.043396,0.21875100000000003,0.014516,,,,,
23,NW,D1,188.0,260.6093333333334,32.13663888888889,5.877292330596443e+17,,0.6636668519234304,21.125725,0.669605,21.36198,0.351109,20.240211,0.195487,19.45145,0.168106,20.097387,1.028912,0.188573,0.186834,,,,,
24,NW,D1,199.0,260.60116666666664,32.13494444444444,5.877292330596452e+17,,1.1786347334751677,22.458981,0.330271,21.725597,0.073311,20.360232999999997,0.03374,19.835022,0.035754,19.526457,0.087785,0.30827899999999997,0.113246,,,,,
25,NW,D1,204.0,260.5787083333334,32.13311111111111,5.877292330596444e+17,,1.5777722876601328,22.832691,0.435121,20.895398999999998,0.036032,19.689159,0.020125999999999998,19.195881,0.021997,18.792912,0.044726,0.161993,0.009778,,,,,
26,NW,D1,223.0,260.58933333333334,32.131388888888885,5.877292330596444e+17,3.0,0.6926763575973146,23.284945,0.495174,21.09383,0.035219,19.994595,0.021466,19.535492,0.023288,19.116170999999998,0.047283,0.128946,0.011161,,,,,
27,SW,D3,4.0,260.5890416666667,32.13180555555556,5.877292330596444e+17,3.0,1.2357521758835872,23.284945,0.495174,21.09383,0.035219,19.994595,0.021466,19.535492,0.023288,19.116170999999998,0.047283,0.128946,0.011161,,,,,
28,NW,D1,241.0,260.5975833333333,32.129666666666665,5.877292330596442e+17,,1.084094252627337,20.987276,0.115076,20.228642999999998,0.026958999999999997,19.599629999999998,0.022721,19.350885,0.030702999999999998,19.304261999999998,0.09535700000000001,0.19401400000000002,0.064225,,,,,
