,MEM_MATCH_ID,RA_1,DEC_1,BCG_SPEC_Z,SPECID,SURVEY_CODE,RA_2,DEC_2,Z_2
73,6889,135.67652139744172,1.3658799153023868,0.25706038,132234731210145792,1,135.67651999999998,1.3659,0.25709
74,6895,185.87559123404284,-1.9198351533200524,-1.0,G12_Y1_IS1_058,5,185.87558,-1.9198400000000002,0.30466
75,6990,132.57451109355134,1.9803562026693835,0.41555715,131953250793422848,1,132.57451,1.98036,0.41548
76,7166,140.17270185740543,2.1617824977469438,0.30887485,133360699471560704,1,140.17268,2.16178,0.3089
77,7273,132.77299262030286,0.5277861327338477,0.33231044,131953250394963968,1,132.77299,0.52778,0.33234
78,7309,222.49222828907207,-0.33081660967353244,0.25115463,86916179859341312,1,222.49222999999998,-0.33081,0.25118
79,7333,174.92459203086486,0.7623966635254907,0.3572743,G12_Y1_AT_294,5,174.92467,0.7623800000000001,0.35749000000000003
80,7344,223.08978653712563,-0.972193944711906,0.31299588,G15_Y1_IS2_081,5,223.08979,-0.97221,0.3129
81,7478,219.05687702084998,-0.2693387147290441,0.21872135,86353122368159744,1,219.05687000000003,-0.26934,0.21874000000000002
82,7504,218.47227342890758,-1.9378506959302308,-1.0,G15_Y3_009_144,5,218.47229,-1.93785,0.32558000000000004
83,7506,178.06621874943374,0.5153785599689652,0.46296063,G12_Y1_CN1_377,5,178.06617,0.51539,0.46313000000000004
84,7574,215.62196898408317,1.4349846285331254,0.28030914,G15_Y1_DN2_213,5,215.62196,1.43498,0.28044
85,7682,183.08498611304302,1.8078713340592811,0.19329171,146028588607471616,1,183.08498,1.80788,0.1933
86,7763,217.88765999412587,-1.1718518040083348,0.40171495,258619104468926464,1,217.88767,-1.17185,0.40174
87,8041,183.77208897447457,-1.4609551524563458,0.19885206,93955851240341504,1,183.77204,-1.46094,0.1989
88,8056,176.0318603549543,-1.1420765957846255,0.3514703,79880581533401088,1,176.03184,-1.14211,0.35153
89,8267,181.62655472860038,1.8207112390766595,0.2958772,145746005092990976,1,181.62656,1.8207400000000002,0.29586999999999997
90,8277,222.62601509105846,1.2249611286471285,0.38863474,151657001615622144,1,222.62604,1.22496,0.38868
91,8441,221.7759045743713,-0.5208307035631993,0.34624606,86916180157136896,1,221.77589,-0.52082,0.34631999999999996
92,8639,129.73719855214256,2.1475383237194663,0.35989872,G09_Y1_AX2_105,5,129.73721,2.1475400000000002,0.3597
93,8648,216.850325144506,-0.2486454890847961,0.16266064,86071544601640960,1,216.85035,-0.24865,0.1626
94,8692,175.9364066242307,-1.0088674775497293,0.35552198,79880581457903616,1,175.93639,-1.00888,0.35572
95,8731,220.4952089225927,1.1277701559359037,0.3730239,151375517981868032,1,220.4952,1.12779,0.37289
96,8784,131.25958053481727,1.4420387629209426,-1.0,G09_Y1_BN1_358,5,131.25958,1.44204,0.42022
97,8876,177.64109568700442,1.2992011263254009,0.29027516,G12_Y1_CX2_185,5,177.64108000000002,1.29921,0.29004
98,8900,138.0898838776327,2.5337409358849667,-1.0,G09_Y1_FX1_394,5,138.08988,2.5337400000000003,0.22265
99,8954,217.57929286569407,1.49322656033721,0.27711663,G15_Y1_EN1_318,5,217.57925,1.4932299999999998,0.27823000000000003
100,9082,129.51249112927806,1.9434390930702483,0.35947144,G09_Y1_AN1_283,5,129.5125,1.9434799999999999,0.35991999999999996
101,9137,130.78314522659196,0.48307486979696,0.26257506,131671728374939648,1,130.78314,0.48308,0.2625
102,9173,136.19883666144975,1.8441131073210142,0.23532708,132797727716147200,1,136.19884,1.84412,0.23540999999999998
103,9176,212.49783976603652,-1.5396668425059208,-1.0,6dFg1409595-013223,6,212.49783,-1.53964,0.1157
104,9472,131.73345222154268,-0.6180725988178208,-1.0,G09_Y1_CS1_167,5,131.73342,-0.61807,0.36633000000000004
105,9504,175.75547757685,-0.7867141437451426,-1.0,G12_Y1_BS1_267,5,175.75546,-0.78674,0.26465
106,9687,212.12451502502742,1.5316322219567855,0.43876076,G15_Y2_009_286,5,212.1245,1.53164,0.4394
107,9707,180.92706513775158,1.0318335937420997,0.25516945,80725179038171136,1,180.92707,1.0318,0.25515
108,9731,185.9648151965744,-1.4947683472969733,0.40332714,94235951873654784,1,185.96479,-1.49479,0.40316
109,10027,220.51740718440564,-0.8163901085726861,0.14409296,86634708770750464,1,220.51742000000002,-0.8164,0.14415999999999998
110,10216,134.0354303631023,0.4301991004391875,-1.0,G09_Y2_012_071,5,134.03542,0.43018999999999996,0.16702
111,10305,217.83820509874474,-0.8956478121392324,0.40268037,86353122976333824,1,217.83832999999998,-0.8956700000000001,0.40276
112,10409,132.83869819236494,1.4800584071754568,0.32681283,131671729838751744,1,132.8387,1.48006,0.32671
113,10445,218.2942713366832,-1.9285628676979008,0.40437153,258900600203247616,1,218.29428,-1.9285599999999998,0.40426
114,10587,139.25983457981644,0.0030347263460016928,0.20631543,133079334486278144,1,139.25984,0.00303,0.20628000000000002
115,10628,138.82475898113609,-0.987321904153617,-1.0,G09_Y1_HS1_116,5,138.82478999999998,-0.9873299999999999,0.40515999999999996
116,10663,129.40250759001032,1.978007881514705,0.3916842,G09_Y1_AN2_276,5,129.40246000000002,1.9779900000000001,0.39105999999999996
117,10717,222.2511378542664,1.7316279216443202,0.37260088,151657001632399360,1,222.25112000000001,1.73164,0.37271
118,10982,217.85586079977398,-0.8167580858986582,-1.0,G15_Y1_ES2_059,5,217.85587,-0.81677,0.39683
119,10997,175.85899464373546,-0.4574321319358714,0.35034242,79880581592121344,1,175.85898999999998,-0.45743,0.35036999999999996
120,11287,175.95507886709908,0.3679587752802469,0.32979947,79880582573588480,1,175.95506,0.36798000000000003,0.32982
121,11595,214.6184290134136,0.7854095274796121,0.34312811,85508605234642944,1,214.61845,0.78541,0.34315999999999997
122,11702,219.39843294424895,-0.556710227282292,0.18008095,86634709534113792,1,219.39843,-0.55669,0.18002
123,11782,138.4965462148857,0.05729849963732956,-1.0,G09_Y1_HS1_232,5,138.49653999999998,0.05729,0.16773
124,11839,218.68919809314858,1.7553022553727289,0.27712756,151094029998620672,1,218.68921,1.7552900000000002,0.27718000000000004
125,11875,130.30195937447093,0.4605158264603702,-1.0,G09_Y1_AS2_344,5,130.30192,0.46051000000000003,0.45373
126,11887,177.38004555571774,-0.2517152414383582,-1.0,G12_Y1_CND1_148,5,177.38,-0.25168,0.40576999999999996
127,11975,221.33351951841664,0.11468396071485484,0.29437009,86916181193129984,1,221.33352999999997,0.11469000000000001,0.29424
128,11976,138.97221979492872,0.4694522143678577,0.33404174,133079336134639616,1,138.97222,0.46946000000000004,0.33389
129,12159,211.8474279954047,1.9379292874396823,0.18007986,149967996670967808,1,211.84741,1.93795,0.1801
130,12268,176.42484402051997,0.3926036688697383,0.26155698,79880582636503040,1,176.42481999999998,0.39264,0.26139
131,12314,181.37681583515374,-0.6442459819941987,0.46209872,G12_Y1_FS1_304,5,181.37675,-0.6442,0.462
132,12349,215.0835306710925,-0.5839137323728267,0.32035962,85790052512169984,1,215.08356,-0.58391,0.3204
133,12404,185.3044470376746,1.139238799556292,0.41125584,81288133777293312,1,185.30444,1.13925,0.41118999999999994
134,12569,213.1473995458664,1.8132464673021096,0.47107247,149967995932770304,1,213.14742,1.8132400000000002,0.47073000000000004
135,12772,178.80686860030357,-0.5260987803157643,0.13215056,80160780464422912,1,178.80688999999998,-0.5261,0.13217
136,12850,217.07509600010468,0.7252910730004444,0.33513823,86353123555147776,1,217.07506,0.72532,0.33493
137,13118,214.03035694283267,1.930169000652452,0.31157640000000003,150249475707764736,1,214.03034,1.93018,0.31166
138,13129,138.64461436941292,2.4546078711056074,0.31476265,133360698704003072,1,138.64451,2.4546,0.31461
139,13144,216.19780267120663,1.3362762593946322,0.30207086,150530963191889920,1,216.19781,1.33629,0.30216
140,13668,139.73712102158112,2.8282254972110183,0.19824703,159820732648390656,1,139.73713,2.82823,0.19827
141,13673,136.62930800572923,-0.3589776715697731,0.28505638,132516272834347008,1,136.6293,-0.359,0.28509
142,13703,135.44775961587743,-0.7088238965681646,0.25777733,G09_Y1_ES1_055,5,135.44775,-0.70882,0.25814000000000004
143,13763,216.80041355987618,-0.4617777722914249,0.3063937,86071544589058048,1,216.80038,-0.46176999999999996,0.3064
144,13866,213.86402736300846,1.8505882431148808,0.30351305,G15_Y1_BN2_326,5,213.864,1.85058,0.3037
145,14003,135.03079390127274,2.4047024305235034,-1.0,G09_Y1_DX1_027,5,135.03079,2.40469,0.35048
146,14039,215.04495435696822,1.6175093806821177,0.19211891,150249475217031168,1,215.04496,1.61752,0.19218
147,14207,138.64330883150535,-0.860989980277973,-1.0,G09_Y1_HS1_133,5,138.64328999999998,-0.86098,0.34375
148,14211,221.82809820063244,-1.2629384603083662,0.14816378,259182084310958080,1,221.82809,-1.2629299999999999,0.1482
149,14381,177.06185470743884,-1.931931177286228,0.16849163,92828848277684224,1,177.06186,-1.93195,0.16848
