,MEM_MATCH_ID_2,RA_1a,DEC_1a,Z_1a,ZSPEC,SPECID_2,RA_2a,DEC_2a,Z_2a
51,33,213.74618472761418,-0.3674062413038861,0.13761522,-1.0,G15_Y1_BS1_025,213.74613,-0.36741,0.14658
52,33,213.76971139221573,-0.3498993893492648,0.13761522,-1.0,G15_Y1_BS1_047,213.76967000000002,-0.34991,0.14032999999999998
53,33,213.7631691870084,-0.3785937321691281,0.13761522,0.14288495,85508603393343488,213.76317999999998,-0.37859,0.1429
54,33,213.76512833800618,-0.3754489344887504,0.13761522,-1.0,G15_Y3_041_188,213.76512000000002,-0.37546,0.14043
55,33,213.7703250379016,-0.3596614459495824,0.13761522,-1.0,G15_Y3_016_030,213.77032999999997,-0.35965,0.13943
56,33,213.76855304800802,-0.3724692064324301,0.13761522,-1.0,G15_Y1_BS2_005,213.7685,-0.37249,0.14043
57,33,213.69771342202972,-0.31297957488001393,0.13761522,0.13824691,85508603355594752,213.69772000000003,-0.31298000000000004,0.13819
58,33,213.7153960655596,-0.293200944775665,0.13761522,0.14637972,85508603405926400,213.7154,-0.2932,0.14640999999999998
59,33,213.7120101731833,-0.2964011865058472,0.13761522,-1.0,G15_Y1_BS1_382,213.71196,-0.29641999999999996,0.1444
60,33,213.69532346204758,-0.3218235792131341,0.13761522,0.14038989999999998,85790052969349120,213.69534,-0.32181,0.14039000000000001
61,33,213.7205741911391,-0.3155350740919292,0.13761522,0.13999979999999998,85508603410120704,213.72057,-0.31553000000000003,0.14001
62,33,213.70447639567416,-0.3164049769360342,0.13761522,-1.0,G15_Y3_041_191,213.70446,-0.31643000000000004,0.13967000000000002
63,33,213.71560664926452,-0.3679393160796026,0.13761522,0.13957185,85508603363983360,213.71562999999998,-0.36794,0.13960999999999998
64,33,213.72880910021144,-0.30974386545443344,0.13761522,-1.0,G15_Y1_BS2_370,213.72879,-0.30974,0.13571
65,33,213.7343551536951,-0.3072708538226689,0.13761522,-1.0,G15_Y1_BS1_396,213.73432999999997,-0.30727,0.14544
66,33,213.72763875478887,-0.3295704906868961,0.13761522,0.14016724,85508603368177664,213.72765,-0.32955999999999996,0.14029
67,33,213.72587421054516,-0.3338130287478082,0.13761522,-1.0,G15_Y1_BS2_011,213.72582999999997,-0.33381,0.14557
