,tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
43,,,,,,5.880155092764596e+17,,,26.318819,0.748578,21.476696,0.072495,19.917616,0.028539,19.359683999999998,0.027732999999999997,18.913351000000002,0.08103400000000001,0.257225,0.027381,,,,,
44,,,,,,5.880155092764591e+17,,,23.612856,1.42592,21.04619,0.052411,19.568770999999998,0.022482,19.019748999999997,0.022052000000000002,18.651426,0.068288,0.24798,0.013678000000000001,,,,,
45,,,,,,5.880155092764591e+17,,,18.928394,0.090163,17.634989,0.01005,17.068205,0.009421013,16.736362,0.011172,16.614212,0.044161,0.077791,0.027667,1.1168664082867814e+17,16.234257,0.0243857,0.049156,0.000164383
46,,,,,,5.880155092764591e+17,,,22.048199,0.408094,21.033732999999998,0.05391900000000001,20.618311,0.052945000000000006,20.357607,0.06804400000000001,20.282206,0.288107,0.060955999999999996,0.020996,,,,,
47,,,,,,5.880155092764591e+17,,,21.607126,0.278016,19.41103,0.015822,18.508503,0.011506,18.014129999999998,0.011569,17.764313,0.033408,0.107932,0.030057,,,,,
48,,,,,,5.880155092764591e+17,,,19.820004,0.08642799999999999,17.912792,0.007619193000000001,16.976812,0.0054301259999999995,16.571354,0.005605059,16.22871,0.014937,0.096933,0.015338999999999998,1.1168664085803827e+17,16.267236999999998,0.03942302,0.083602,0.000139362
49,,,,,,5.880155092764591e+17,,,21.950153,0.475012,20.002798000000002,0.028383999999999996,18.553875,0.013144,18.039368,0.013137000000000001,17.652264000000002,0.038306,0.232462,0.014933000000000002,,,,,
50,,,,,,5.880155092764591e+17,,,21.736723,0.266768,21.148127,0.05095,20.993605,0.06413300000000001,20.726881,0.082482,20.464565,0.298189,0.260527,0.13761199999999998,,,,,
51,,,,,,5.880155092764591e+17,,,24.435829000000002,2.0001189999999998,20.909771,0.046822,19.305626,0.019242,18.737682,0.018437000000000002,18.40251,0.05549400000000001,0.290662,0.015123,,,,,
52,,,,,,5.880155092764591e+17,,,22.861229,1.031569,20.789783,0.052861,19.267257999999998,0.022537,18.679466,0.021285,18.257566,0.063062,0.268671,0.016109000000000002,,,,,
53,,,,,,5.880155092764591e+17,,,21.775724,0.404967,20.599714000000002,0.045947,19.199396,0.021676,18.671581,0.021925,18.316513,0.067609,0.259044,0.06275,,,,,
54,,,,,,5.880155092764593e+17,,,24.716820000000002,1.7542099999999998,21.51339,0.06746100000000001,19.849138,0.025425,19.247329999999998,0.0239,18.920932999999998,0.073813,0.310393,0.018125,,,,,
55,,,,,,5.880155092764593e+17,,,25.075027,2.063708,20.929344,0.053884,19.4235,0.022934,18.821423,0.021287999999999998,18.45188,0.065103,0.273281,0.02394,,,,,
56,,,,,,5.880155092764593e+17,,,22.736362,0.777692,20.696007,0.042513,19.317448000000002,0.044369,18.784822,0.019617,18.436188,0.061387,0.221845,0.013074,,,,,
57,,,,,,5.880155092764593e+17,,,22.551926,0.5559029999999999,21.345185999999998,0.061584,20.139967000000002,0.032288,19.716278,0.034885,19.265717000000002,0.102728,0.22881700000000002,0.069091,,,,,
58,,,,,,5.880155092764593e+17,,,21.391189999999998,0.21002300000000002,21.046246,0.050582,20.370693,0.040576,20.068174,0.049739,19.999239000000003,0.21154299999999998,0.219198,0.07874099999999999,,,,,
59,,,,,,5.880155092764593e+17,,,23.66852,1.392236,21.849106,0.099987,20.746626000000003,0.056742999999999995,20.170679,0.0559,19.967223999999998,0.211635,0.163323,0.028310000000000002,,,,,
60,,,,,,5.880155092764593e+17,,,23.851814,1.638427,21.961138000000002,0.116459,20.711349,0.09324,20.256033,0.063359,19.717562,0.178977,0.16705799999999998,0.028991000000000003,,,,,
61,,,,,,5.880155092764593e+17,,,23.623924,1.2235719999999999,21.953608,0.101538,21.299485999999998,0.08225299999999999,21.346001,0.13881500000000002,20.248713000000002,0.234839,0.088089,0.03782,,,,,
62,,,,,,5.880155092764593e+17,,,22.055103,0.49502399999999996,20.422619,0.038146,18.981007,0.018109,18.375757,0.016821,17.973289,0.047906,0.25501999999999997,0.026322,,,,,
63,,,,,,5.880155092764593e+17,,,23.138731,1.269217,20.550726,0.043017,19.094843,0.019137,18.510637,0.018191,18.182055,0.058057000000000004,0.252576,0.014022,,,,,
64,,,,,,5.880155092764593e+17,,,21.578276000000002,0.395689,19.94136,0.030851999999999997,18.53434,0.014459999999999999,18.008620999999998,0.014332,17.567022,0.041077999999999996,0.230663,0.029706,,,,,
65,,,,,,5.880155092764593e+17,,,22.816792,0.726152,21.41712,0.068215,19.850548,0.026914999999999998,19.299112,0.027194,18.97595,0.087262,0.280929,0.034025,,,,,
66,,,,,,5.880155092764593e+17,,,21.202114,0.165319,20.657829,0.033455,20.105342999999998,0.029684,19.924944,0.039535,19.6731,0.14117000000000002,0.27835,0.044759,,,,,
67,,,,,,5.880155092764595e+17,,,22.404314000000003,0.527682,21.161568,0.056232000000000004,19.756584,0.025537999999999998,19.218243,0.025591,19.01223,0.093235,0.191091,0.06571,,,,,
68,,,,,,5.880155092764595e+17,,,26.207592,0.934634,21.853935,0.115355,20.946766,0.07671,20.964199,0.142717,21.018342999999998,0.621414,0.150589,0.040937,,,,,
69,,,,,,5.880155092764595e+17,,,25.859517999999998,1.6851150000000001,21.38961,0.10055800000000001,20.311429999999998,0.060076,19.705391,0.058910000000000004,19.262749,0.182723,0.168533,0.040563,,,,,
70,,,,,,5.880155092764595e+17,,,23.762129,1.365475,21.909810999999998,0.09708,20.380724,0.039057,19.801222,0.037956000000000004,19.480665,0.123173,0.272528,0.018095,,,,,
71,,,,,,5.880155092764596e+17,,,22.777784,0.797922,21.389789999999998,0.074016,20.171082000000002,0.037981,19.675895999999998,0.039824,19.360868,0.134021,0.21237399999999998,0.03028,,,,,
72,,,,,,5.880155092764596e+17,,,24.197762,2.0726400000000003,21.678274,0.099727,20.186403,0.039728,19.778528,0.044731,19.33223,0.136675,0.23154899999999998,0.018563,,,,,
73,,,,,,5.880155092764596e+17,,,24.071638,1.7359740000000001,21.803612,0.097482,20.328608,0.039487,19.651010999999997,0.035614,19.390306,0.12418199999999999,0.26772399999999996,0.01768,,,,,
74,,,,,,5.880155092764598e+17,,,25.848843,1.212438,21.525482,0.081689,19.953499,0.032139999999999995,19.356077,0.030257,18.937817000000003,0.091589,0.298095,0.022446999999999998,,,,,
75,,,,,,5.880155092764598e+17,,,25.779474,1.125127,21.460003,0.070862,19.990029999999997,0.029426,19.404385,0.027841,19.042879,0.087608,0.26903299999999997,0.022673,,,,,
76,,,,,,5.880155092764591e+17,,,19.489314999999998,0.051094,18.516199,0.008758029,18.07674,0.008414002,17.776403,0.009486728,17.686888,0.034066,0.099911,0.029675,,,,,
77,,,,,,5.880155092764591e+17,,,23.838068,1.5787129999999998,21.508512,0.07441299999999999,19.83449,0.030496,19.327852,0.02744,18.967934,0.08658400000000001,0.26522199999999996,0.028602999999999996,,,,,
78,,,,,,5.880155092764591e+17,,,22.877573,1.0268,20.53653,0.042291,18.930481,0.016818,18.396593,0.01675,18.086744,0.053703999999999995,0.27381700000000003,0.017966,,,,,
79,,,,,,5.880155092764591e+17,,,23.09766,0.938578,21.643532,0.086202,20.181068,0.035437,19.61022,0.034733999999999994,19.372808,0.12579500000000002,0.23451599999999997,0.046553,,,,,
80,,,,,,5.880155092764591e+17,,,23.252939,1.852703,20.057852,0.037029,18.472786,0.015991,17.896391,0.015746,17.486816,0.043138,0.287873,0.014282,,,,,
81,,,,,,5.880155092764593e+17,,,22.557335000000002,0.787248,20.033929999999998,0.028834,18.520820999999998,0.012647,17.975473,0.012201,17.586515,0.035291,0.25740100000000005,0.011983,,,,,
82,,,,,,5.880155092764595e+17,,,24.81407,2.3792020000000003,21.145613,0.066933,19.660435,0.028520999999999998,19.115645999999998,0.028658999999999997,18.975482999999997,0.11258599999999999,0.24755500000000003,0.026069,,,,,
83,,,,,,5.880155092764595e+17,,,23.001631,0.8507819999999999,21.733175,0.089396,20.692331,0.053007000000000006,20.268795,0.059848,19.774687,0.175075,0.22114699999999998,0.054276,,,,,
84,,,,,,5.880155092764596e+17,,,21.286745,0.28983600000000004,20.639692,0.053554,19.867693,0.040641000000000004,19.681942000000003,0.05702,19.443747000000002,0.20966700000000002,0.317517,0.080943,,,,,
85,,,,,,5.880155092764596e+17,,,25.211494000000002,1.8001470000000002,21.738028,0.1013,20.441828,0.047099,19.916965,0.048131,19.638273,0.17163399999999998,0.19647799999999999,0.022175999999999998,,,,,
86,,,,,,5.880155092764596e+17,,,22.021885,0.490138,20.798647,0.052601,20.354332,0.054511000000000004,20.018427,0.069409,20.030197,0.309374,0.065887,0.024515000000000002,,,,,
87,,,,,,5.880155092764598e+17,,,25.820782,1.348567,21.981709,0.13511800000000002,20.927906,0.080074,20.478046,0.08837,20.396620000000002,0.374146,0.15431,0.030369999999999998,,,,,
88,,,,,,5.880155092764598e+17,,,22.552992,0.599857,21.587759,0.08179600000000001,20.385561,0.041976,19.932223999999998,0.044719999999999996,19.559431,0.142718,0.285851,0.07953500000000001,,,,,
