,tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err
47,,,,,,5.8773084796407e+17,,,21.908422,0.310148,21.722359,0.10547899999999999,21.155174,0.088987,20.837475,0.113069,20.942564,0.424575,0.233442,0.024393,,,,,
48,,,,,,5.877308479640707e+17,,,22.844721,0.6559560000000001,21.099764,0.058217,19.665375,0.025932999999999998,19.060078,0.024285,18.725193,0.058298,0.230377,0.020684,,,,,
49,,,,,,5.877308479640707e+17,,,22.687276999999998,0.625763,21.332066,0.08075,20.500626,0.052440999999999995,19.883955,0.051392999999999994,19.854145000000003,0.171156,0.127625,0.035664,,,,,
50,,,,,,5.877308479640699e+17,,,20.794065,0.170323,18.627610999999998,0.014535,17.564686,0.007815727,16.937555,0.00747851,16.68218,0.016281999999999998,0.130117,0.038651,,,,,
51,,,,,,5.877308479640704e+17,,,22.485741,0.505764,20.952341,0.05450599999999999,20.034189,0.035858,19.737524,0.044887,19.347998,0.10875499999999999,0.104359,0.040494999999999996,,,,,
52,,,,,,5.877308479640709e+17,,,22.930096,0.9050969999999999,20.972387,0.06527000000000001,19.641115,0.029431,18.992043,0.027549,18.571539,0.064981,0.186115,0.019742,,,,,
53,,,,,,5.87730847964071e+17,,,23.248259,0.898919,21.790096,0.101934,21.246477,0.09088500000000001,21.403244,0.176572,21.258345000000002,0.510418,0.039316000000000004,0.021527,,,,,
54,,,,,,5.87730847964071e+17,,,22.297712,0.419495,21.025698000000002,0.055388,20.265829,0.040043,19.789537,0.046252999999999996,19.571558,0.126341,0.13605,0.029022000000000003,,,,,
55,,,,,,5.877308479640712e+17,,,21.996214000000002,0.279549,21.563181,0.078899,20.732792,0.052404,20.30637,0.059564,19.894586999999998,0.143874,0.29381199999999996,0.040135000000000004,,,,,
56,,,,,,5.877308479640712e+17,,,25.043316,1.205648,21.711678,0.07367,20.325428,0.031478,19.806591,0.032847,19.334698,0.072385,0.193597,0.015784,,,,,
57,,,,,,5.877308479640712e+17,,,24.574976,1.6493380000000002,21.824842,0.103773,20.470979999999997,0.044660000000000005,19.974235999999998,0.047908,19.603193,0.126884,0.19101400000000002,0.010929000000000001,,,,,
58,,,,,,5.877308479640051e+17,,,20.867989,0.156575,19.889639000000003,0.029141000000000004,18.931238,0.01932,18.525488,0.021638,18.140273999999998,0.049802,0.26361799999999996,0.060961,,,,,
59,,,,,,5.877308479640051e+17,,,22.014212,0.269278,20.723185,0.036425,19.535147,0.019666,19.052677,0.022328,18.588366,0.043723000000000005,0.23644899999999996,0.051379999999999995,,,,,
60,,,,,,5.877308479640056e+17,,,23.429699,0.8361649999999999,21.577656,0.070417,20.25721,0.031847,19.677893,0.031497000000000004,19.415993,0.085105,0.191395,0.025189,,,,,
61,,,,,,5.877308479640056e+17,,,22.2603,0.340963,21.123575,0.051922,20.67676,0.049274,20.362000000000002,0.061138,19.922155,0.139923,0.05242,0.022655,,,,,
62,,,,,,5.877308479640056e+17,,,22.293774,0.568108,21.893832999999997,0.166923,20.927931,0.096113,20.672966,0.128829,20.624199,0.433163,0.250537,0.156469,,,,,
63,,,,,,5.877308479640056e+17,,,21.686577,0.305179,21.339663,0.090119,20.637566,0.075429,20.357103,0.089277,20.314749,0.32063400000000003,0.223865,0.060320000000000006,,,,,
