tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err
,,,,,5.87730847964e+17,,,22.485741,0.505764,20.952341,0.054506,20.034189,0.035858,19.737524,0.044887,19.347998,0.108755,0.104359,0.040495,,,,,,,,,
,,,,,5.87730847964e+17,,,22.930096,0.905097,20.972387,0.06527,19.641115,0.029431,18.992043,0.027549,18.571539,0.064981,0.186115,0.019742,,,,,,,,,
,,,,,5.87730847964e+17,,,23.248259,0.898919,21.790096,0.101934,21.246477,0.090885,21.403244,0.176572,21.258345,0.510418,0.039316,0.021527,,,,,,,,,
,,,,,5.87730847964e+17,,,22.297712,0.419495,21.025698,0.055388,20.265829,0.040043,19.789537,0.046253,19.571558,0.126341,0.13605,0.029022,,,,,,,,,
,,,,,5.87730847964e+17,,,21.996214,0.279549,21.563181,0.078899,20.732792,0.052404,20.30637,0.059564,19.894587,0.143874,0.293812,0.040135,,,,,,,,,
,,,,,5.87730847964e+17,,,25.043316,1.205648,21.711678,0.07367,20.325428,0.031478,19.806591,0.032847,19.334698,0.072385,0.193597,0.015784,,,,,,,,,
,,,,,5.87730847964e+17,,,24.574976,1.649338,21.824842,0.103773,20.47098,0.04466,19.974236,0.047908,19.603193,0.126884,0.191014,0.010929,,,,,,,,,
,,,,,5.87730847964e+17,,,20.867989,0.156575,19.889639,0.029141,18.931238,0.01932,18.525488,0.021638,18.140274,0.049802,0.263618,0.060961,,,,,,,,,
,,,,,5.87730847964e+17,,,22.014212,0.269278,20.723185,0.036425,19.535147,0.019666,19.052677,0.022328,18.588366,0.043723,0.236449,0.05138,,,,,,,,,
,,,,,5.87730847964e+17,,,23.429699,0.836165,21.577656,0.070417,20.25721,0.031847,19.677893,0.031497,19.415993,0.085105,0.191395,0.025189,,,,,,,,,
,,,,,5.87730847964e+17,,,22.2603,0.340963,21.123575,0.051922,20.67676,0.049274,20.362,0.061138,19.922155,0.139923,0.05242,0.022655,,,,,,,,,
,,,,,5.87730847964e+17,,,22.293774,0.568108,21.893833,0.166923,20.927931,0.096113,20.672966,0.128829,20.624199,0.433163,0.250537,0.156469,,,,,,,,,
,,,,,5.87730847964e+17,,,21.686577,0.305179,21.339663,0.090119,20.637566,0.075429,20.357103,0.089277,20.314749,0.320634,0.223865,0.06032,,,,,,,,,
,,,,,5.87730847964e+17,,,23.092791,0.707283,21.96677,0.104664,20.406347,0.038748,19.879328,0.040675,19.424917,0.091931,0.269544,0.089866,,,,,,,,,
,,,,,5.87730847964e+17,,,21.024633,0.125681,19.790884,0.018828,19.04944,0.013939,18.604753,0.015004,18.328657,0.03751,0.128074,0.026373,,,,,,,,,
,,,,,5.87730847964e+17,,,22.258245,0.486661,20.865463,0.059366,20.519262,0.060246,20.456978,0.096438,20.059471,0.233198,0.035552,0.019469,,,,,,,,,
,,,,,5.87730847964e+17,,,22.484247,0.664514,19.827805,0.027143,18.219379,0.0107,17.602961,0.010167,17.146328,0.021185,0.27141,0.015789,2.77759570586e+17,319.74355,0.56225234,0.276829,0.000189913,,,,
