,tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
33,SE,D1,46.0,203.831997573,40.9945556944,1.2376623067224476e+18,203.83241533095799,40.9949587399459,22.091379999999997,0.2873515,20.18013,0.02628428,18.73198,0.01257445,18.22315,0.01219082,17.897000000000002,0.03696806,0.240792,0.015516,,,,,
34,SE,D1,86.0,203.86112269999998,40.9911945833,1.237662306722449e+18,203.86044353368,40.9911946397938,22.66607,0.34885459999999996,21.35824,0.05083814,20.5876,0.03910308,20.571720000000003,0.06098407,20.17719,0.20041270000000003,0.187818,0.112874,,,,,
35,SE,D1,123.0,203.843872895,40.9860556944,1.237662306722448e+18,203.84411796320597,40.986395304348605,21.46397,0.19597,19.5726,0.01845718,18.17388,0.009389889,17.65083,0.009051489,17.25031,0.02496257,0.226163,0.014628,,,,,
36,SE,D1,129.0,203.859831229,40.9860556944,1.237662306722448e+18,203.859395481138,40.9856962070323,22.96738,0.3964278,20.851679999999998,0.03169057,19.42073,0.01518455,18.89645,0.014605100000000001,18.5235,0.04294274,0.231577,0.036107,,,,,
37,SE,D1,169.0,203.850706425,40.9808890278,1.237662306722449e+18,203.85074189172698,40.9811131089035,22.1429,0.2573197,21.57134,0.06909557,20.61577,0.0458764,20.176289999999998,0.05178585,20.10706,0.216074,0.389046,0.118396,,,,,
38,SE,D1,191.0,203.832081557,40.9773890278,1.2376623067224481e+18,203.831845400031,40.977167156782706,23.4034,0.5648361,21.28351,0.04470219,19.89901,0.02145617,19.371229999999997,0.0209303,19.15338,0.07389647,0.22870700000000002,0.022067,,,,,
39,SE,D1,197.0,203.847956557,40.9773890278,1.2376623067224486e+18,203.847424134384,40.977016708724896,22.79818,0.41852970000000006,20.70352,0.06112319,19.63372,0.01988839,19.11962,0.02011277,18.719839999999998,0.06092024,0.11412699999999999,0.021539,,,,,
40,SE,D1,237.0,203.838748418,40.9722779167,1.2376623067224486e+18,203.83903000416697,40.971974115101204,23.34362,0.47450879999999995,21.82314,0.06101364,20.57115,0.0315588,20.15094,0.03411381,19.90641,0.1250067,0.24668,0.033741,,,,,
41,SE,D2,164.0,203.836081449,40.9802501389,1.2376623067224481e+18,203.83583590973703,40.9801809702422,21.767979999999998,0.1786283,20.87581,0.03711557,20.0183,0.02718936,19.69044,0.03231897,19.16082,0.08961336,0.339092,0.037245,,,,,
42,SE,D2,234.0,203.82937344200002,40.9716390278,1.237662306722448e+18,203.82886152720903,40.971581695149204,23.634829999999997,0.7814861,21.53877,0.06295262,20.18807,0.03001801,19.67237,0.03029338,19.31833,0.09948938,0.211721,0.013685,,,,,
43,SE,D3,157.0,203.857164735,40.981500138899996,1.237662306722448e+18,203.857737527967,40.9815190039336,20.065,0.05759837,18.94585,0.01089679,18.31182,0.009449583000000001,17.94941,0.01029177,17.75307,0.03482996,0.131227,0.025869999999999997,,,,,
44,SE,D3,171.0,203.85591480099998,40.9797501389,1.237662306722448e+18,203.855551949436,40.9802447227533,23.754189999999998,0.7081649,20.91185,0.03345217,19.49041,0.0158683,18.94034,0.01498678,18.668979999999998,0.04797856,0.260642,0.053501,,,,,
